车号,CollectTime,if_off,v_diff1,a_min3,a_mean3,a_max3,整车钥匙状态catestd,v_diff3_bin
38,2020-10-10 09:14:17,-5.0,0.0,-7.3125,-3.3515625,0.0,0.5477225575051662,5
38,2020-10-10 09:14:19,-4.0,0.0,-2.7421875,-0.9140625,0.0,0.4472135954999579,5
38,2020-10-10 14:34:46,-5.0,0.0,-0.6484375,-0.21614583333333334,0.0,0.5477225575051662,5
38,2020-10-10 14:34:48,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-10 16:51:23,-5.0,0.0,-0.6953125,-0.20052083333333334,0.09375,0.5477225575051662,5
38,2020-10-10 16:51:25,-4.0,0.0,-0.6953125,-0.23177083333333334,0.0,0.4472135954999579,5
38,2020-10-11 10:23:44,-5.0,0.0,-4.28125,-1.4270833333333333,0.0,0.8366600265340756,5
38,2020-10-11 10:23:46,-4.0,0.0,0.0,0.0,0.0,0.7071067811865475,5
38,2020-10-11 11:48:06,-5.0,0.0,-0.6953125,0.0,0.6953125,0.5477225575051661,5
38,2020-10-11 11:48:08,-4.0,0.0,-0.6953125,-0.23177083333333334,0.0,0.4472135954999578,5
38,2020-10-11 12:18:28,-5.0,0.0,0.0,0.0,0.0,0.7071067811865475,5
38,2020-10-11 12:18:30,-4.0,0.0,0.0,0.0,0.0,0.44721359549995787,5
38,2020-10-11 12:41:58,-5.0,0.0,-1.578125,-0.3229166666666667,0.609375,0.5477225575051661,5
38,2020-10-11 12:42:00,-4.0,0.0,-1.578125,-0.5260416666666666,0.0,0.4472135954999578,5
38,2020-10-11 15:34:30,-5.0,0.0,-1.765625,-0.5729166666666666,0.046875,0.5477225575051662,5
38,2020-10-11 15:34:32,-4.0,0.0,-1.765625,-0.5885416666666666,0.0,0.4472135954999579,5
38,2020-10-11 17:09:48,-5.0,0.0,0.0,0.0,0.0,0.5477225575051662,5
38,2020-10-11 17:09:50,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-12 11:42:04,-5.0,0.0,0.0,0.0,0.0,0.0,5
38,2020-10-12 11:42:06,-4.0,0.0,0.0,0.0,0.0,0.0,5
38,2020-10-12 12:33:38,-5.0,0.0,0.0,0.0,0.0,0.0,5
38,2020-10-12 12:33:40,-4.0,0.0,0.0,0.0,0.0,0.0,5
38,2020-10-12 13:17:33,-5.0,0.0,0.0,0.0,0.0,0.5477225575051662,5
38,2020-10-12 13:17:35,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-12 13:21:01,-5.0,0.0,0.0,0.0,0.0,0.5477225575051662,5
38,2020-10-12 13:21:03,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-12 14:26:56,-5.0,0.0,0.0,0.0,0.0,0.5477225575051662,5
38,2020-10-12 14:26:58,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-12 14:35:53,-5.0,0.0,0.0,0.0,0.0,0.5477225575051662,5
38,2020-10-12 14:35:55,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-12 15:17:36,-5.0,0.0,-1.0625,-0.3541666666666667,0.0,0.5477225575051662,5
38,2020-10-12 15:17:38,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-12 15:21:52,-5.0,0.0,-1.953125,-0.8046875,0.0,0.5477225575051662,5
38,2020-10-12 15:21:54,-4.0,0.0,-1.953125,-0.6510416666666666,0.0,0.4472135954999579,5
38,2020-10-12 15:27:30,-5.0,0.0,-0.2265625,-0.07552083333333333,0.0,0.5477225575051662,5
38,2020-10-12 15:27:32,-4.0,0.0,0.0,0.0,0.0,0.4472135954999579,5
38,2020-10-12 17:06:44,-5.0,0.0,0.0,0.0,0.0,0.0,5
38,2020-10-12 17:06:46,-4.0,0.0,0.0,0.0,0.0,0.0,5
38,2020-10-12 17:24:12,-5.0,0.0,-0.875,-0.4322916666666667,0.0,0.5477225575051662,5
38,2020-10-12 17:24:14,-4.0,0.0,-0.875,-0.2916666666666667,0.0,0.4472135954999579,5
38,2020-10-12 17:25:37,-5.0,0.0,-0.6953125,-0.3072916666666667,0.0,0.8366600265340756,5
38,2020-10-12 17:25:39,-4.0,0.0,-0.2265625,-0.07552083333333333,0.0,0.7071067811865475,5
38,2020-10-12 17:28:11,-5.0,0.0,-0.1796875,-0.028645833333333332,0.09375,0.8366600265340756,5
38,2020-10-12 17:28:13,-4.0,0.0,-0.1796875,-0.059895833333333336,0.0,0.7071067811865475,5
38,2020-10-12 19:10:16,-5.0,0.0,0.0,0.0,0.0,0.0,5
38,2020-10-12 19:10:18,-4.0,0.0,0.0,0.0,0.0,0.0,5
38,2020-10-12 21:25:08,-5.0,-43.375,-35.375,-9.520833333333334,20.765625,0.0,0
38,2020-10-12 21:25:09,-4.0,-14.796875,-35.375,-9.802083333333334,20.765625,0.0,1
38,2020-10-12 21:25:10,-3.0,-15.15625,-35.375,-16.442708333333336,1.203125,0.0,0
38,2020-10-12 23:05:20,-5.0,0.0,-0.28125,-0.15364583333333334,0.0,1.0954451150103321,5
38,2020-10-12 23:05:22,-4.0,-0.9140625,-0.6796875,-0.53125,0.0859375,0.8944271909999159,4
38,2020-10-12 23:05:24,-3.0,-1.0,-0.5,-0.4713541666666667,0.0859375,0.0,4
38,2020-10-12 23:07:20,0.0,-0.8203125,-0.5,-0.4401041666666667,0.1796875,0.0,4
38,2020-10-12 23:07:22,0.0,-1.046875,-0.546875,-0.4557291666666667,0.1796875,0.0,4
38,2020-10-12 23:07:24,0.0,-1.0,-0.546875,-0.4557291666666667,0.1796875,0.0,4
38,2020-10-12 23:07:26,0.0,-1.046875,-0.546875,-0.53125,0.0,0.0,4
38,2020-10-12 23:07:28,0.0,-1.0,-0.546875,-0.515625,0.0,0.0,4
38,2020-10-12 23:07:30,0.0,-0.953125,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:07:32,0.0,-1.046875,-0.546875,-0.5,0.046875,0.0,4
38,2020-10-12 23:07:36,0.0,-0.9140625,-0.5859375,-0.515625,0.0859375,0.0,4
38,2020-10-12 23:07:38,0.0,-0.953125,-0.5859375,-0.484375,0.0859375,0.0,4
38,2020-10-12 23:07:40,0.0,-1.046875,-0.546875,-0.4713541666666667,0.0859375,0.0,4
